[Gene ID],[source_id],[Genomic Location (Gene)],[Product Description],[NN Summary Score],[NN D-Score],[HMM Signal Probability],[Met Search Criteria]
PF3D7_0100500,PF3D7_0100500.1,"Pf3D7_01_v3:53,169..53,280(-)","erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene",4,0.72,0.74,Y
PF3D7_0100600,PF3D7_0100600.1,"Pf3D7_01_v3:53,778..55,006(-)",rifin,4,0.78,0.95,Y
PF3D7_0100900,PF3D7_0100900.1,"Pf3D7_01_v3:62,187..63,400(-)",rifin,3,0.59,0.39,Y
PF3D7_0101000,PF3D7_0101000.1,"Pf3D7_01_v3:65,817..66,989(-)",rifin,4,0.77,0.86,Y
PF3D7_0101100,PF3D7_0101100.1,"Pf3D7_01_v3:69,304..70,417(-)",exported protein family 4,4,0.69,0.01,Y
PF3D7_0101200,PF3D7_0101200.1,"Pf3D7_01_v3:71,624..72,426(+)",exported protein family 3,4,0.67,0.14,Y
PF3D7_0101300,PF3D7_0101300.1,"Pf3D7_01_v3:74,563..75,366(+)",Pfmc-2TM Maurer's cleft two transmembrane protein,2,0.55,0.02,Y
PF3D7_0101400,PF3D7_0101400.1,"Pf3D7_01_v3:75,982..76,809(-)","exported protein family 1, pseudogene",3,0.65,0.18,Y
PF3D7_0101800,PF3D7_0101800.1,"Pf3D7_01_v3:87,203..88,177(-)",stevor,4,0.82,0.92,Y
PF3D7_0101900,PF3D7_0101900.1,"Pf3D7_01_v3:90,242..91,420(-)",rifin,4,0.73,0.98,Y
PF3D7_0102300,PF3D7_0102300.1,"Pf3D7_01_v3:104,704..105,209(+)","Plasmodium exported protein, unknown function",3,0.67,0.85,Y
PF3D7_0102500,PF3D7_0102500.1,"Pf3D7_01_v3:110,750..115,799(-)",erythrocyte binding antigen-181,4,0.78,0.24,Y
PF3D7_0102600,PF3D7_0102600.1,"Pf3D7_01_v3:119,041..121,249(-)","serine/threonine protein kinase, FIKK family",3,0.52,0,Y
PF3D7_0102700,PF3D7_0102700.1,"Pf3D7_01_v3:124,517..125,484(+)",merozoite-associated tryptophan-rich antigen,3,0.6,0.77,Y
PF3D7_0103200,PF3D7_0103200.1,"Pf3D7_01_v3:140,662..142,219(-)",nucleoside transporter 4,4,0.55,0.08,Y
PF3D7_0103600,PF3D7_0103600.1,"Pf3D7_01_v3:161,131..166,229(+)","ATP-dependent RNA helicase, putative",4,0.66,0.01,Y
PF3D7_0103900,PF3D7_0103900.1,"Pf3D7_01_v3:172,864..174,591(+)",parasite-infected erythrocyte surface protein,3,0.62,0.06,Y
PF3D7_0104000,PF3D7_0104000.1,"Pf3D7_01_v3:175,609..176,376(+)",thrombospondin-related sporozoite protein,2,0.61,0.13,Y
PF3D7_0104200,PF3D7_0104200.1,"Pf3D7_01_v3:182,822..184,222(-)",StAR-related lipid transfer protein,4,0.8,1,Y
PF3D7_0104500,PF3D7_0104500.1,"Pf3D7_01_v3:204,622..205,455(-)","conserved protein, unknown function",2,0.59,0.13,Y
PF3D7_0104700,PF3D7_0104700.1,"Pf3D7_01_v3:210,870..213,005(+)","major facilitator superfamily-related transporter, putative",4,0.55,0,Y
PF3D7_0105400,PF3D7_0105400.1,"Pf3D7_01_v3:226,681..227,285(-)","conserved Plasmodium protein, unknown function",4,0.9,1,Y
