Gene_ID,Cas9_Status,Cas9_LHR,Cas9_gBlock,Cas9_RHR,Cas9_gRNA,Cas9_gBlock_size,Cpf1_Status,Cpf1_LHR,Cpf1_gBlock,Cpf1_RHR,Cpf1_gRNA,Cpf1_gBlock_size,Enzyme_recommended
PF3D7_1329300.1,Success,Success,Success,Success,Success,119,Success,Success,Success,Success,Success,375,Cas9
PF3D7_1017700.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,125,Cpf1
PF3D7_1416800.1,Success,Success,Success,Success,Success,0,Success,Success,Success,Success,Success,0,Either
PF3D7_1032700.1,Success,Success,Success,Success,Success,125,Success,Success,Success,Success,Success,125,Either
PF3D7_1338300.1,Success,Success,Success,Success,Success,206,Success,Success,Success,Success,Success,18,Cpf1
PF3D7_1034500.1,Success,Success,Success,Success,Success,215,Success,Success,Success,Success,Success,215,Either
PF3D7_0504200.1,Success,Success,Success,Success,Success,184,Success,Success,Success,Success,Success,219,Cas9
PF3D7_1207300.1,Warning,Success,Success,Success,Warning,124,Error,-,-,-,Error,0,Cas9
PF3D7_1252700.1,Warning,Success,Success,Warning,Success,199,Warning,Success,Success,Warning,Success,305,Cas9
PF3D7_0421100.1,Warning,Success,Success,Success,Warning,467,Success,Success,Success,Success,Success,357,Cpf1
PF3D7_1468600.1,Warning,Success,Success,Success,Warning,241,Error,-,-,-,Error,0,Cas9
PF3D7_0309900.1,Error,-,-,-,Error,0,Success,Success,Success,Success,Success,440,Cpf1
PF3D7_0716800.1,Warning,Success,Success,Warning,Success,269,Warning,Success,Success,Warning,Success,310,Cas9
PF3D7_1437200.1,Success,Success,Success,Success,Success,211,Success,Success,Success,Success,Success,145,Cpf1
PF3D7_0414300.1,Success,Success,Success,Success,Success,33,Success,Success,Success,Success,Success,33,Either
PF3D7_1300900.1,Success,Success,Success,Success,Success,196,Success,Success,Success,Success,Success,250,Cas9
PF3D7_1148800.1,Success,Success,Success,Success,Success,209,Success,Success,Success,Success,Success,251,Cas9
PF3D7_0615800.1,Success,Success,Success,Success,Success,315,Success,Success,Success,Success,Success,150,Cpf1
PF3D7_0915500.1,Warning,Success,Success,Warning,Warning,273,Warning,Success,Success,Warning,Success,269,Cpf1
PF3D7_1104700.2,Success,Success,Success,Success,Success,67,Success,Success,Success,Success,Success,95,Cas9
PF3D7_1104700.1,Success,Success,Success,Success,Success,67,Success,Success,Success,Success,Success,95,Cas9
PF3D7_1248800.1,Success,Success,Success,Success,Success,156,Success,Success,Success,Success,Success,227,Cas9
PF3D7_0216100.1,Success,Success,Success,Success,Success,111,Success,Success,Success,Success,Success,171,Cas9
PF3D7_0410600.1,Success,Success,Success,Success,Success,227,Success,Success,Success,Success,Success,138,Cpf1
PF3D7_1137400.1,Success,Success,Success,Success,Success,116,Success,Success,Success,Success,Success,323,Cas9
PF3D7_1244700.1,Success,Success,Success,Success,Success,330,Success,Success,Success,Success,Success,330,Either
PF3D7_0817400.1,Warning,Success,Success,Warning,Success,72,Error,-,-,-,Error,0,Cas9
PF3D7_0727600.1,Success,Success,Success,Success,Success,128,Success,Success,Success,Success,Success,79,Cpf1
PF3D7_1423700.1,Success,Success,Success,Success,Success,125,Warning,Warning,Warning,Success,Success,413,Cas9
PF3D7_0411600.1,Error,-,-,-,Error,0,Warning,Success,Success,Warning,Warning,69,Cpf1
PF3D7_1320700.1,Success,Success,Success,Success,Success,183,Warning,Success,Success,Warning,Success,148,Cas9
PF3D7_1331600.1,Success,Success,Success,Success,Success,97,Success,Success,Success,Success,Success,194,Cas9
PF3D7_1202900.1,Success,Success,Success,Success,Success,158,Warning,Success,Success,Success,Warning,220,Cas9
PF3D7_0832250.1,Warning,Success,Success,Success,Warning,455,Warning,Warning,Success,Success,Warning,480,Cas9
PF3D7_0932100.1,Success,Success,Success,Success,Success,136,Success,Success,Success,Success,Success,120,Cpf1
PF3D7_0514700.1,Success,Success,Success,Success,Success,507,Success,Success,Success,Success,Success,214,Cpf1
PF3D7_0525800.1,Success,Success,Success,Success,Success,163,Success,Success,Success,Success,Success,414,Cas9
PF3D7_0711100.1,Success,Success,Success,Success,Success,301,Error,-,-,-,Error,0,Cas9
PF3D7_1122100.1,Success,Success,Success,Success,Success,253,Warning,Success,Success,Success,Warning,239,Cas9
PF3D7_1318500.1,Error,-,-,-,Error,0,Warning,Warning,Success,Success,Warning,45,Cpf1
PF3D7_0317900.1,Success,Success,Success,Success,Success,113,Success,Success,Success,Success,Success,417,Cas9
PF3D7_0904500.1,Warning,Success,Success,Warning,Warning,137,Warning,Success,Success,Warning,Success,194,Cpf1
PF3D7_1011800.1,Success,Success,Success,Success,Success,357,Success,Success,Success,Success,Success,380,Cas9
PF3D7_1316300.1,Success,Success,Success,Success,Success,114,Success,Success,Success,Success,Success,114,Either
PF3D7_0502500.1,Error,-,-,-,Error,0,Error,-,-,-,Error,0,None
PF3D7_1017600.1,Success,Success,Success,Success,Success,139,Success,Success,Success,Success,Success,139,Either
malmito_rna_20_,Success,Success,Success,Success,Success,0,Error,-,-,-,Error,0,Cas9
PF3D7_0620300.1,Success,Success,Success,Success,Success,125,Success,Success,Success,Success,Success,125,Either
PF3D7_1136400.1,Success,Success,Success,Success,Success,176,Success,Success,Success,Success,Success,296,Cas9
PF3D7_1003200.1,Warning,Success,Success,Warning,Success,247,Warning,Success,Success,Warning,Success,125,Cpf1
PF3D7_1455700.1,Warning,Success,Success,Success,Warning,386,Success,Success,Success,Success,Success,386,Cpf1
PF3D7_0829600.1,Success,Success,Success,Success,Success,202,Success,Success,Success,Success,Success,164,Cpf1
PF3D7_1146100.1,Success,Success,Success,Success,Success,123,Success,Success,Success,Success,Success,123,Either
PF3D7_0222100.1,Warning,Success,Success,Success,Warning,485,Success,Success,Success,Success,Success,304,Cpf1
PF3D7_1137500.1,Success,Success,Success,Success,Success,123,Success,Success,Success,Success,Success,171,Cas9
PF3D7_1439200.1,Success,Success,Success,Success,Success,200,Success,Success,Success,Success,Success,171,Cpf1
PF3D7_1221300.1,Success,Success,Success,Success,Success,14,Success,Success,Success,Success,Success,158,Cas9
PF3D7_1319400.1,Warning,Warning,Success,Success,Success,243,Success,Success,Success,Success,Success,218,Cpf1
PF3D7_0112400.1,Error,-,-,-,Error,0,Error,-,-,-,Error,0,None
PF3D7_0718700.1,Success,Success,Success,Success,Success,289,Success,Success,Success,Success,Success,171,Cpf1
PF3D7_0504400.1,Success,Success,Success,Success,Success,10,Success,Success,Success,Success,Success,10,Either
PF3D7_1332600.1,Success,Success,Success,Success,Success,314,Success,Success,Success,Success,Success,314,Either
PF3D7_0707200.1,Success,Success,Success,Success,Success,0,Warning,Success,Success,Warning,Success,185,Cas9
PF3D7_1354800.1,Success,Success,Success,Success,Success,332,Success,Success,Success,Success,Success,369,Cas9
PF3D7_0615900.1,Success,Success,Success,Success,Success,122,Success,Success,Success,Success,Success,122,Either
PF3D7_1040900.1,Success,Success,Success,Success,Success,139,Success,Success,Success,Success,Success,281,Cas9
PF3D7_0105900.1,Warning,Success,Success,Warning,Success,142,Warning,Success,Success,Warning,Success,142,Either
PF3D7_1473400.1,Success,Success,Success,Success,Success,0,Success,Success,Success,Success,Success,265,Cas9
PF3D7_1201700.1,Warning,Success,Success,Success,Warning,249,Success,Success,Success,Success,Success,125,Cpf1
PF3D7_1442000.1,Success,Success,Success,Success,Success,123,Success,Success,Success,Success,Success,129,Cas9
PF3D7_0721500.1,Warning,Success,Success,Success,Warning,510,Success,Success,Success,Success,Success,167,Cpf1
PF3D7_API00600.,Success,Success,Success,Success,Success,100,Error,-,-,-,Error,0,Cas9
PF3D7_0727700.1,Warning,Success,Success,Success,Warning,301,Success,Success,Success,Success,Success,356,Cpf1
PF3D7_1209400.1,Success,Success,Success,Success,Success,277,Success,Success,Success,Success,Success,216,Cpf1
PF3D7_1436200.1,Warning,Success,Success,Success,Warning,254,Warning,Success,Success,Success,Warning,254,Either
PF3D7_0829900_p,Error,Warning,Success,Error,Success,0,Error,Warning,Success,Error,Success,0,None
PF3D7_1014900.1,Success,Success,Success,Success,Success,163,Success,Success,Success,Success,Success,275,Cas9
PF3D7_1020600.1,Warning,Success,Success,Warning,Success,327,Warning,Success,Success,Warning,Success,327,Either
